Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Little's Food Store,33.749207218728074,-84.36804343962571,Deli / Bodega
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Augustine's,33.746687352061095,-84.37686217912974,Pub
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Java Cats Café,33.746596936595935,-84.37417745791298,Coffee Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Orangutan Exhibit,33.73139623673279,-84.37092480227268,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Kro-bar,33.74230944684428,-84.35987770557404,Beer Bar
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Waffle House,33.74067981977102,-84.36187163721011,Breakfast Spot
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,World of Reptiles,33.73095923307068,-84.37110855975554,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,CVS pharmacy,33.74071580156409,-84.36799789039662,Pharmacy
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Redbox,33.740681,-84.367632,Video Store
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Petting Zoo,33.732124362902034,-84.37218919273636,Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Republic Social House,33.74661027197993,-84.37317634037163,American Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grindhouse Killer Burgers,33.74653450412781,-84.36497111909655,Burger Joint
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Milltown Arms Tavern,33.74965632930929,-84.36800112142946,Pub
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Great Clips,33.7409721,-84.3610201,Salon / Barbershop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Cupcake Lounge,33.74660429806932,-84.37405856137357,Cupcake Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Jimmy John's,33.745629,-84.36837,Sandwich Place
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Kroger Pharmacy,33.7421478,-84.3604893,Pharmacy
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Ramen Station,33.74638,-84.370605,Ramen Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,The Living Treehouse,33.732457868244914,-84.37077267135484,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,The UPS Store,33.7411651,-84.3596108,Shipping Store
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Starbucks,33.742320616657516,-84.35997779508607,Coffee Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Sumatran Tiger Exhibit,33.73164024909508,-84.37139650798537,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Atlanta Habitat for Humanity ReStore,33.74626250675124,-84.37037853807568,Miscellaneous Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Sun Bear Exhibit,33.73173302392648,-84.37120584669258,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grocery On Home,33.729277619406716,-84.36765239947135,Music Venue
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Ormond Grant Park,33.7311241865868,-84.37700636239924,Playground
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Blue Flame Express Train,33.73324874942209,-84.37263334687546,Theme Park
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park Pool,33.73790202830946,-84.37035917565252,Pool
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Atlanta Preservation Center,33.740585983813865,-84.37685238027731,History Museum
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park Tennis Courts,33.74070197532505,-84.37075519714053,Tennis Court
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park Baseball Field,33.73992181262452,-84.37112909272913,Field
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Burger Joy,33.74446523938574,-84.36849863726695,Chinese Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Meerkat Exhibit,33.73346900223115,-84.37080915767736,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Artifacts,33.7414393581142,-84.36800126087618,Arts & Crafts Store
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Asian Otter Exhibit,33.73159278448988,-84.37098779326625,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,KIDZone,33.73338162147142,-84.37224088748869,Playground
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Balanced Fit Life Training Studio,33.733476,-84.364705,Yoga Studio
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Larkin On Memorial,33.746554,-84.370518,Shopping Plaza
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Foxgloves & Ivy,33.74658035757574,-84.369023076633,Flower Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Otterly Cool Treats,33.731717116310186,-84.37103156104084,Ice Cream Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Gather,33.746628,-84.37216,Diner
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,El Toro,33.74644978333333,-84.364759,Mexican Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Supremo Taco,33.746337,-84.364413,Taco Place
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Highland Yoga Grant Park,33.73167351486589,-84.37668221114933,Yoga Studio
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Shell,33.74420592074174,-84.37953238937428,Gas Station
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Cummin Landscape Supply,33.747246000000004,-84.363556,Garden
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Joseph and Co.,33.74055518530971,-84.35817136530626,Market
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,All Life is Yoga,33.748338000000004,-84.36553,Yoga Studio
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,bouchic boutique + lounge,33.74102695875885,-84.358141000312,Boutique
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Snacks on the Edge,33.7303484,-84.36459500000001,Health Food Store
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Atlanta Beltline Access Point at Ormewood Ave SE,33.733669,-84.35987,Trail
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Beaumont Allen Greenhouse,33.749037,-84.371668,Botanical Garden
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,A Town Wings,33.682283055255446,-84.40745950741405,Wings Joint
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,CVS pharmacy,33.680934463310585,-84.4072836429064,Pharmacy
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Dollar Tree,33.68203868142834,-84.40983890564793,Discount Store
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Papa John's Pizza,33.68213794664761,-84.40826152789938,Pizza Place
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Walgreens,33.68055331522176,-84.40817130731375,Pharmacy
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Family Dollar,33.68169910564884,-84.40747663179812,Discount Store
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Foot Locker,33.682258768385886,-84.40926700040235,Shoe Store
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,American Deli,33.681928508198155,-84.40831928174532,Wings Joint
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Nail Luv,33.68227050996762,-84.4104103390766,Cosmetics Shop
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Rainbow Apparel,33.68257740301414,-84.4099669264325,Clothing Store
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Vibez Hair Salon,33.682713,-84.408974,Cosmetics Shop
"Hammond Park, Atlanta, GA",33.67641000000003,-84.40846999999997,Athlete's Foot,33.682713,-84.408974,Shoe Store
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Effect Fitness,33.72084218946993,-84.40685008874647,Gym
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Jamrock Jerk Center,33.72140495287807,-84.40769563887683,Caribbean Restaurant
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Perkerson Park,33.71350728365204,-84.41251927834197,Park
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Subway,33.721896163558505,-84.40846324785042,Sandwich Place
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Chevron,33.72188814179446,-84.40821298047304,Gas Station
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Atlanta Food Mart,33.722539000000005,-84.40758100000001,Convenience Store
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Metroplex Theatre,33.718445,-84.40825799999999,Concert Hall
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Home Sweet Home Inspections LLC,33.718503000000005,-84.417582,Home Service
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,The Premier Palatial Palace of Punks,33.720399,-84.417554,Amphitheater
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Metro Package Store,33.7216222588076,-84.40808106961862,Liquor Store
"Capitol View, Atlanta, GA",33.718290000000025,-84.41231999999997,Wings And Seafood,33.72163424036485,-84.4080919930855,Wings Joint
